,Reason
0,Normal
1,Normal
2,Normal
3,Normal
4,Normal
5,Normal
6,Holiday
7,Normal
8,Normal
9,Normal
10,Leave
11,Normal
12,Normal
13,Normal
14,Normal
15,Hungover
16,Normal
17,Normal
18,Normal
19,Normal
20,Normal
21,Normal
22,Normal
23,Leave
24,Sick
25,Normal
26,Holiday
27,Normal
28,Normal
29,Normal
30,Normal
31,Leave
32,Normal
33,Normal
34,Normal
35,Normal
36,Normal
37,Normal
38,Normal
39,Normal
40,Normal
41,Leave
42,Normal
43,Normal
44,Normal
45,Normal
46,Leave
47,Normal
48,Normal
49,Normal
50,Normal
51,Normal
52,Normal
53,Normal
54,Normal
55,Normal
56,Normal
57,Normal
58,Normal
59,Normal
60,Normal
61,Normal
62,Normal
63,Normal
64,Normal
65,Normal
66,Normal
67,Normal
68,Normal
69,Normal
70,Normal
71,Normal
72,Normal
73,Normal
74,Normal
75,Normal
76,Leave
77,Normal
78,Normal
79,Train Failure
80,Leave
81,Normal
82,Normal
83,Normal
84,Normal
85,Normal
86,Normal
87,Normal
88,Normal
89,Normal
90,Normal
91,Normal
92,Car Broke
93,Normal
94,Normal
95,Normal
96,Normal
97,Normal
98,Normal
99,Normal
100,Normal
101,Normal
102,Normal
103,Normal
104,Normal
105,Normal
106,Normal
107,Normal
108,Normal
109,Normal
110,Normal
111,Normal
112,Car Broke
113,Normal
114,Normal
115,Normal
116,Normal
117,Sick
118,Normal
119,Normal
120,Normal
121,Normal
122,Normal
123,Normal
124,Leave
125,Normal
126,Court Appointment
127,Normal
128,Normal
129,Normal
130,Normal
131,Normal
132,Normal
133,Normal
134,Normal
135,Normal
136,Normal
137,Normal
138,Normal
139,Normal
140,Normal
141,Normal
142,Normal
143,Normal
144,Normal
145,Normal
146,Normal
147,Normal
148,Sick
149,Normal
150,Normal
151,Normal
152,Holiday
153,Normal
154,Normal
155,Normal
156,Normal
157,Leave
158,Normal
159,Leave
160,Normal
161,Normal
162,Normal
163,Sick
164,Normal
165,Normal
166,Holiday
167,Normal
168,Normal
169,Normal
170,Normal
171,Normal
172,Normal
173,Normal
174,Normal
175,Normal
176,Normal
177,Holiday
178,Normal
179,Normal
180,Normal
181,Holiday
182,Normal
183,Normal
184,Normal
185,Normal
186,Normal
187,Weekend_Work
188,Normal
189,Normal
190,Normal
191,Normal
192,Normal
193,Normal
194,Normal
195,Normal
196,Normal
197,Normal
198,Normal
199,Normal
200,Normal
201,Leave
202,Car Broke
203,Sick
204,Normal
205,Leave
206,Normal
207,Leave
208,Normal
209,Normal
210,Normal
211,Normal
212,Normal
213,Normal
214,Normal
215,Normal
216,Normal
217,Normal
218,Normal
219,Normal
220,Normal
221,Normal
222,Normal
223,Normal
224,Normal
225,Normal
226,Normal
227,Normal
228,Normal
229,Normal
230,Normal
231,Normal
232,Normal
233,Normal
234,Normal
235,Leave
236,Normal
237,Normal
238,Normal
239,Normal
240,Normal
241,Normal
242,Normal
243,Normal
244,Normal
245,Normal
246,Normal
247,Sick
248,Normal
249,Leave
250,Normal
251,Normal
252,Normal
253,Normal
254,Normal
255,Normal
256,Normal
257,Normal
258,Normal
259,Holiday
260,Normal
261,Normal
262,Sick
263,Leave
264,Normal
265,Normal
266,Normal
267,Leave
268,Normal
269,Normal
270,Normal
271,Normal
272,Normal
273,Normal
274,Normal
275,Normal
276,Normal
277,Normal
278,Normal
279,Normal
280,Sick
281,Normal
282,Normal
283,Normal
284,Normal
285,Leave
286,Normal
287,Normal
288,Normal
289,Normal
290,Normal
291,Normal
292,Leave
293,Normal
294,Normal
295,Normal
296,Normal
297,Court Appointment
298,Normal
299,Normal
300,Leave
301,Normal
302,Normal
303,Normal
304,Normal
305,Normal
306,Normal
307,Normal
308,Normal
309,Normal
